Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
Afghanistan,Middle East/Central Asia,52.5,62,0.48,,LI,40.8,0.4,0.1,0.1,0.2,0,0,0.8,0.3,0.1,0.012981282,0.000565167,0.028232273,0.513827024,-0.287637599,0.530695582,1.559794611
Albania,Other Europe,71.6,76,0.8,"$14,889 ",UM,2.9,0.8,0.2,0.2,0.7,0,0.1,2.1,0.6,0.2,0.223326157,0.081391904,0.073005587,1.176752316,-0.894486045,1.37148542,1.760131111
Algeria,Africa,71.5,76,0.75,"$11,137 ",UM,45.4,0.7,0.2,0.1,1.2,0,0,2.2,0.4,0.2,0.023911707,0.007179154,0.037775208,0.663374969,-1.559593496,1.471954604,3.350998407
Angola,Africa,50.9,62,0.59,"$6,304 ",LM,35,0.2,0.1,0.1,0.3,0.1,0.1,0.9,0.2,0.8,0.416887822,0.153498781,0.061359798,1.588191242,0.730345635,0.568028656,0.540139993
Antigua and Barbuda,Central America/Caribbean,,78,0.79,"$18,749 ",HI,0.1,,,,,,,2.9,,,,,,0.917277482,-2.01945766,1.944580357,3.201577712
Argentina,South America,72.8,75,0.84,"$22,117 ",UM,46,0.9,0.5,0.2,1.4,0.1,0.1,3.2,1.8,1.2,0.591673397,1.527614549,0.083517167,5.231663301,2.011044922,2.13255569,0.615601233
Armenia,Middle East/Central Asia,71.1,72,0.76,"$13,548 ",LM,3,0.7,0.2,0.3,1.1,0,0.1,2.3,0.4,0.3,0.098199897,0.016852624,0.052181926,0.846624546,-1.479770423,1.540439209,2.747847295
Australia,Asia-Pacific,75.6,83,0.95,"$53,053 ",HI,26.1,0.1,0.5,0.9,4.3,0.1,0,5.8,1.8,4.5,1.86199177,2.82750336,0.024586629,11.02140059,5.244362496,3.825307442,0.524165513
Austria,EU-27,82.3,81,0.92,"$55,460 ",HI,9.1,1,0.3,1,3.2,0,0.2,5.6,0.6,0.1,1.952259799,0.005608961,0.194412585,2.8937746,-2.732865942,3.725720621,1.944394889
Azerbaijan,Middle East/Central Asia,73.5,69,0.75,"$14,692 ",UM,10.3,0.8,0.2,0.1,1.2,0,0,2.4,0.6,0.2,0.103819226,0.014091532,0.045343476,0.936954621,-1.420134343,1.56076346,2.5156917
Bahrain,Middle East/Central Asia,64.3,79,0.88,"$49,184 ",HI,1.8,0.5,0.4,0.2,6.8,0.2,0.1,8.2,0,0,0.000850806,0.418958757,0.128777746,0.555726117,-7.620475328,5.413930762,14.71264566
Bangladesh,Asia-Pacific,64.2,72,0.66,"$5,681 ",LI,167.9,0.2,0,0.1,0.3,0,0.1,0.7,0.1,0,0.004829666,0.048880732,0.06535964,0.247818312,-0.422906592,0.444125333,2.706518736
Barbados,Central America/Caribbean,70.3,78,0.79,"$14,910 ",HI,0.3,0.6,0.3,0.2,1.8,0.4,0.1,3.3,0.1,0,0.018580407,0.04434191,0.122920788,0.259910991,-3.054224767,2.194478898,12.75104119
Belarus,Other Europe,76,72,0.81,"$18,574 ",UM,9.4,1.5,0.1,1.1,1.8,0.1,0.1,4.6,1.7,0.2,1.671707099,0.017935493,0.05422402,3.702523221,-0.87572973,3.031523216,1.236522414
Belgium,EU-27,79.7,82,0.94,"$52,749 ",HI,11.7,1.4,0.4,0.8,3.6,0.1,0.4,6.7,0.4,0.1,0.282650719,0.04200406,0.412599923,1.161287077,-5.528361569,4.429599104,5.760546877
Belize,Central America/Caribbean,65.7,70,0.68,"$6,122 ",UM,0.4,0.2,0.3,0.3,1.7,5.1,0,7.5,0.5,0.2,1.755450552,0.895603799,0.002146169,3.303245105,-4.227131211,4.986292995,2.279690449
Benin,Africa,51.2,60,0.53,"$3,543 ",LI,12.8,0.4,0,0.2,0.3,0.2,0,1.1,0.4,0,0.17587775,0.017100718,0.039339611,0.633463684,-0.477126427,0.735385253,1.753202495
Bermuda,North America,,79,,,HI,0.1,,,,,,,,,,,,,,,,
Bhutan,Asia-Pacific,70.5,72,0.67,"$11,106 ",LM,0.8,0.6,0.3,2.8,0.8,0,0.2,4.7,0.3,0.3,4.036194096,0.011788611,0.180000479,4.872815927,0.152248438,3.125757813,0.968755553
Bolivia,South America,68,64,0.69,"$8,442 ",LM,12,0.3,1.6,0.2,0.6,0,0.1,2.8,0.6,1.9,10.60588848,0.046119914,0.070951801,13.2359069,10.46337161,1.835854245,0.209470746
Bosnia and Herzegovina,Other Europe,71.7,75,0.78,"$14,964 ",UM,3.2,1.1,0.4,0.7,1.8,0.3,0,4.3,0.8,0.3,1.058867994,0.000237759,0.038085376,2.173852297,-2.091693634,2.824462006,1.962205959
Botswana,Africa,61.4,61,0.69,"$16,519 ",UM,2.4,0.3,0.3,0.2,1.3,0,0,2.2,0.1,1.9,0.645552946,0.210410777,0.033459921,2.902419861,0.680635387,1.471170615,0.765493823
Brazil,South America,72.8,73,0.75,"$14,739 ",UM,215.4,0.5,0.6,0.4,0.7,0.1,0.2,2.6,0.8,0.8,6.128738473,0.158958909,0.236773366,8.177126233,5.625306893,1.689705582,0.312067989
Brunei Darussalam,Asia-Pacific,67.1,75,0.83,"$64,198 ",HI,0.4,0.4,0.2,0.2,6.8,0.3,0,7.9,0,0,1.402184299,1.156231674,0.03809923,2.617611086,-5.291012187,5.236751947,3.021313332
Bulgaria,EU-27,74.3,72,0.8,"$24,490 ",UM,6.8,0.8,0.2,0.5,1.9,0.1,0.1,3.6,1.5,0.2,1.119766166,0.136829639,0.110499365,3.084292312,-0.497837046,2.371932792,1.161410462
Burkina Faso,Africa,54.5,59,0.45,"$2,281 ",LI,22.1,0.3,0.1,0.3,0.1,0,0,0.9,0.3,0.1,0.203774768,0.001008903,0.022283693,0.694622433,-0.203164148,0.594475861,1.292481409
Burundi,Africa,54.1,62,0.43,$733 ,LI,12.6,0.3,0.1,0.2,0,0,0,0.6,0.2,0.1,0.007316808,0.006154334,0.049625412,0.356306547,-0.2372992,0.393060327,1.665997306
Cabo Verde,Africa,,74,0.66,"$6,629 ",LM,0.6,,,,,,,1.2,,,,,,0.437320562,-0.724858382,0.769545171,2.657498972
Cambodia,Asia-Pacific,63.8,70,0.59,"$4,705 ",LI,17.2,,,,,,,1.3,,,,,,1.01194657,-0.327504084,0.886926912,1.323637724
Cameroon,Africa,55.5,60,0.58,"$3,767 ",LM,27.9,0.5,0.1,0.2,0.1,0.1,0.1,1,0.5,0.1,0.72635079,0.060928803,0.050792785,1.426698897,0.382675283,0.691307767,0.731775721
Canada,North America,77.7,83,0.94,"$49,516 ",HI,38.4,1.3,0.3,1.1,4.6,0.1,0,7.4,2.7,0.3,8.024229903,3.150398408,0.040869635,14.2410608,6.820419866,4.913630919,0.521073608
Central African Republic,Africa,39.3,54,0.4,$944 ,LI,5,0.4,0.4,0.2,0,0,0,1.1,0.4,0.5,5.526731194,0,0.023683815,6.411713946,5.294840348,0.739545909,0.174192674
Chad,Africa,41.3,53,0.39,"$1,460 ",LI,17.4,0.3,0.8,0.2,0,0,0,1.4,0.3,0.8,0.238273209,0.05162845,0.023336257,1.442213862,0.067589937,0.910217147,0.953134595
Chile,South America,77.8,79,0.86,"$24,433 ",UM,19.3,0.6,0.5,1,1.6,0.1,0.1,3.8,0.3,0.4,2.038244344,0.343150417,0.118355688,3.231436235,-0.610397283,2.543897776,1.188893495
China,Asia-Pacific,72.4,78,0.77,"$18,299 ",UM,"1,480.60",0.5,0.1,0.2,2.6,0.1,0.1,3.6,0.3,0.1,0.223058918,0.042214858,0.123909995,0.802130192,-2.816518632,2.396114421,4.511298614
Colombia,South America,70.1,73,0.75,"$15,610 ",UM,51.5,0.6,0.7,0.1,0.5,0,0.1,2,0.5,1.1,1.895293089,0.0636728,0.066788107,3.587634761,1.610520636,1.309160379,0.55109125
Comoros,Africa,,63,0.56,"$2,874 ",LI,0.9,,,,,,,2,,,,,,0.332177648,-1.652631554,1.31425573,5.975143761
Congo,Africa,52.3,64,0.57,"$3,921 ",LM,5.8,0.3,0.1,0.3,0.3,0.1,0.1,1.1,0.2,2.3,5.078503786,0.259848564,0.061983349,7.831302282,6.712954164,0.740522273,0.142804872
"Congo, Democratic Republic of",Africa,50,59,0.48,"$1,127 ",LI,95.2,0.2,0,0.4,0,0,0.1,0.7,0.2,0.2,1.348660186,0.031009487,0.081315072,1.846246272,1.160856503,0.453835779,0.371234206
Costa Rica,Central America/Caribbean,73.8,77,0.81,"$20,976 ",UM,5.2,0.4,0.1,0.6,0.9,0.2,0.3,2.6,0.3,0.3,0.643532322,0.111495566,0.251434428,1.615101928,-0.983838933,1.720907437,1.609149748
Côte d'Ivoire,Africa, , , , ,LM,27.7,0.3,0.1,0.2,0.2,0.1,0.1,0.9,0.5,0.4,0.092553167,0.029642487,0.05096482,1.106372817,0.221608441,0.585853114,0.799698224
Croatia,Other Europe,78.8,76,0.86,"$31,007 ",HI,4.1,0.8,0.2,0.7,1.8,0.1,0.2,3.7,0.7,0.2,1.16326204,0.360782969,0.155072882,2.5716721,-1.140193191,2.457838376,1.443366474
Cuba,Central America/Caribbean,74.7,74,0.76, ,UM,11.3,0.8,0.1,0.1,0.8,0,0.1,1.9,0.5,0.1,0.23953113,0.168781666,0.067478993,1.115083757,-0.801955759,1.269381543,1.719188809
Cyprus,EU-27,74.2,81,0.9,"$41,492 ",HI,1.2,,,,,,,3.2,,,,,,0.380453362,-2.808880102,2.111840158,8.382981417
Czech Republic,EU-27,80.5,77,0.89,"$40,707 ",HI,10.7,1,0.3,0.8,2.8,0,0.1,5.1,1.1,0.1,1.242041251,0.005852416,0.122170694,2.522005575,-2.561014389,3.365758334,2.015467378
Denmark,EU-27,85.6,81,0.95,"$59,333 ",HI,5.8,1.9,0.4,1,2.9,0.8,0.2,7.3,1.8,0,0.394444494,1.753241899,0.216036198,4.216546359,-3.069922517,4.824787924,1.728065638
Djibouti,Africa,50.3,62,0.51,"$5,710 ",LM,1,1.6,0.1,0.2,0.2,0.1,0.2,2.5,0,0.2,0.001715099,0.234446828,0.214843062,0.633919885,-1.823461613,1.627172885,3.876485903
Dominica,Central America/Caribbean,,73,0.72,"$12,412 ",UM,0.1,,,,,,,2.7,,,,,,1.004335122,-1.682665685,1.779216966,2.67540261
